Sex,Species,Thorax length (mm),Wing length (mm),Femur length (mm),Eye width (mm).,Third antennal segment (mm)
1,1,1.01,2.51,0.06,0.52,0.11
1,1,0.98,2.45,0.05,0.53,0.12
1,1,1.02,2.57,0.08,0.55,0.11
1,1,1.05,2.61,0.07,0.52,0.1
2,1,0.98,2.4,0.04,0.54,0.13
2,1,0.89,2.35,0.04,0.5,0.14
2,1,0.89,2.38,0.05,0.5,0.12
2,1,0.95,2.41,0.05,0.49,0.12
1,2,1.2,3.1,0.09,0.48,0.09
1,2,1.15,3.12,0.1,0.52,0.1
1,2,1.18,3.21,0.09,0.52,0.11
1,2,1.21,3.2,0.1,0.55,0.09
2,2,0.95,2.51,0.08,0.56,0.11
2,2,0.94,2.5,0.07,0.49,0.13
2,2,0.96,2.62,0.08,0.51,0.14
2,2,0.91,2.45,0.07,0.52,0.13
